wl,ref_1,GaAs_1,wl_bg,bg_1,ref_2,GaAs_2,bg_2
704.5,3.203824,-0.020169,704.5,-0.019182,3.199547,-0.01655,-0.019182
704.52,3.211391,-0.019182,704.52,-0.01326,3.200205,-0.024117,-0.012274
704.54,3.206785,-0.021814,704.54,-0.013918,3.197903,-0.0103,-0.020498
704.56,3.211062,-0.024775,704.56,-0.012602,3.198232,-0.015234,-0.015234
704.58,3.212378,-0.017866,704.58,-0.018524,3.199876,-0.00372,-0.021156
704.6,3.210733,-0.014905,704.6,-0.015234,3.200205,-0.011287,-0.015234
704.62,3.210404,-0.014247,704.62,-0.015892,3.201192,-0.012274,-0.014905
704.64,3.207772,-0.011945,704.64,-0.024117,3.202179,-0.006352,-0.021485
704.66,3.193955,-0.011287,704.66,-0.018853,3.201192,-0.031683,-0.015563
704.68,3.212049,-0.014247,704.68,-0.021156,3.18277,-0.012931,-0.020498
704.7,3.20514,-0.016221,704.7,-0.013918,3.201192,-0.010958,-0.013918
704.72,3.20843,-0.012274,704.72,-0.011945,3.202508,-0.047803,-0.020498
704.74,3.210075,-0.013918,704.74,-0.022143,3.199876,-0.005036,-0.016221
704.76,3.204153,-0.012931,704.76,-0.018195,3.200534,-0.011945,-0.015563
704.78,3.207443,-0.0103,704.78,-0.014576,3.190336,-0.00372,-0.019511
704.8,3.210404,-0.025104,704.8,-0.008655,3.196258,-0.013589,-0.016221
704.82,3.207114,-0.017208,704.82,-0.021156,3.198232,-0.011616,-0.018524
704.84,3.21172,-0.01984,704.84,-0.015563,3.200205,-0.012931,-0.015563
704.86,3.212707,-0.0103,704.86,-0.019511,3.1956,-0.014905,-0.044842
704.88,3.210733,-0.020827,704.88,-0.021156,3.200534,-0.009642,-0.017866
704.9,3.207443,-0.024775,704.9,-0.032012,3.199876,-0.010958,-0.017537
704.92,3.20185,-0.014576,704.92,-0.018853,3.196258,-0.010629,-0.023459
704.94,3.204482,-0.020498,704.94,-0.01655,3.202179,-0.00701,-0.015234
704.96,3.201521,-0.020169,704.96,-0.018853,3.199547,-0.012931,-0.020169
704.98,3.207443,-0.015892,704.98,-0.016879,3.194613,-0.014247,-0.034315
705,3.209746,-0.020827,705,-0.018195,3.197245,-0.008326,-0.014905
705.02,3.209746,-0.032341,705.02,-0.01655,3.197903,-0.013589,-0.018195
705.04,3.209417,-0.019182,705.04,-0.01655,3.203166,-0.011945,-0.012274
705.06,3.202508,-0.014576,705.06,-0.017208,3.197245,-0.008655,-0.015563
705.08,3.209417,-0.01326,705.08,-0.015892,3.196587,-0.01655,-0.016879
705.1,3.20843,-0.024117,705.1,-0.017866,3.197574,-0.010629,-0.007997
705.12,3.212378,-0.013918,705.12,-0.021485,3.194613,-0.010958,-0.020827
