wl,hg_1,hg_2,bg_1,bg_2
307.72,0.00911,0.007794,0.006149,0.004504
307.74,0.007136,0.005162,0.010097,0.00286
307.76,0.007136,0.007136,0.006149,0.008123
307.78,0.008452,0.004833,0.009439,0.006807
307.8,0.008452,0.006807,0.00911,0.005162
307.82,0.007794,0.00582,0.010097,0.007794
307.84,0.006149,0.007465,0.007794,0.007465
307.86,0.007136,0.006478,0.010426,0.005491
307.88,0.007136,0.006807,0.00582,0.006149
307.9,0.009768,0.007465,0.009439,0.007465
307.92,0.00911,0.006478,0.007136,0.002531
307.94,0.008781,0.008781,0.006478,0.007136
307.96,0.010755,0.007794,0.008781,0.006149
307.98,0.009439,0.008123,0.008123,0.00582
308,0.006478,0.00582,0.00911,0.007465
308.02,0.008123,0.00582,0.007136,0.007136
308.04,0.00582,0.007794,0.008123,0.008123
308.06,0.00582,0.008123,0.009439,0.006807
308.08,0.007794,0.007794,0.010426,0.00582
308.1,0.006149,0.007465,0.006478,0.007794
308.12,0.006478,0.00582,0.006478,0.006478
308.14,0.007465,0.010097,0.009439,0.00286
308.16,0.004175,0.007465,0.00911,0.003846
308.18,0.007794,0.004504,0.007465,0.006807
308.2,0.008452,0.00582,0.007794,0.006478
308.22,0.008781,0.007794,0.007136,0.004175
308.24,0.007794,0.008781,0.008123,0.003517
308.26,0.010097,0.008452,0.007136,0.004833
308.28,0.008123,0.008123,0.006478,0.00286
308.3,0.007794,0.004833,0.00582,0.002202
308.32,0.005162,0.007465,0.006149,0.006807
308.34,0.008123,0.006149,0.005491,0.002202
308.36,0.008123,0.00582,0.008781,0.003517
308.38,0.007794,0.008452,0.006478,0.00582
308.4,0.008781,0.009768,0.006149,0.008123
308.42,0.007465,0.010097,0.003517,0.003846
308.44,0.006807,0.009439,0.00911,0.006478
308.46,0.009768,0.004833,0.004833,0.001544
308.48,0.009439,0.006478,0.008781,0.004175
308.5,0.006149,0.005162,0.007136,0.00582
308.52,0.010755,0.008452,0.008123,0.006149
308.54,0.008452,0.007794,0.006478,0.003846
308.56,0.008123,0.007136,0.008781,0.001215
308.58,0.008123,0.007136,0.00582,0.003189
308.6,0.008781,0.009768,0.007794,0.004833
308.62,0.006807,0.009768,0.00911,0.003517
308.64,0.011742,0.003517,0.008123,0.004504
308.66,0.009439,0.005491,0.007794,0.003846
308.68,0.010097,0.006478,0.007794,0.004833
308.7,0.010426,0.006807,0.008781,0.00286
308.72,0.008781,0.006149,0.006807,0.005162
308.74,0.007794,0.005491,0.008123,0.004504
308.76,0.010097,0.008452,0.005491,0.003846
308.78,0.006149,0.008123,0.00582,0.00286
308.8,0.010426,0.006807,0.007136,0.004175
308.82,0.00911,0.008123,0.007794,0.006149
308.84,0.010755,0.006807,0.007794,0.005491
308.86,0.009768,0.008123,0.006807,0.004175
308.88,0.007794,0.008781,0.010755,0.00286
308.9,0.008781,0.006807,0.007136,0.006478
308.92,0.00911,0.006149,0.008781,0.006807
308.94,0.00911,0.005162,0.00911,0.004833
308.96,0.006149,0.003189,0.007794,0.00286
308.98,0.007794,0.004504,0.008123,0.005491
309,0.012071,0.008452,0.006478,0.005162
309.02,0.010097,0.004175,0.006478,0.00582
309.04,0.007136,0.00582,0.007794,0.003189
309.06,0.008123,0.006807,0.006478,0.003517
309.08,0.006149,0.008452,0.007794,0.006478
309.1,0.007465,0.004504,0.00911,0.007465
309.12,0.00911,0.006149,0.009439,0.004833
309.14,0.010426,0.007794,0.008123,0.004833
309.16,0.00582,0.007136,0.011413,0.004175
309.18,0.010097,0.008123,0.006149,0.004833
309.2,0.00911,0.007794,0.006149,0.007465
309.22,0.008781,0.006807,0.006149,0.006478
