wl_1,ref_1_ND64,wl_2,ref_2_ND64,wl_3,ref_3_ND64,Cu2O_1_77K_ND4,Cu2O_2_77K_ND1,Cu2O_3_77K_ND4,Cu2O_1_150K_ND4,Cu2O_1_296K_ND4,BG_23_ND64,BG_1_ND4
402.52,0.049246,566.3,0.698308,616.3,0.774697,-0.028064,0.455485,0.99172,-0.024446,-0.027407,,-0.047474
402.54,0.047601,566.35,0.694897,616.35,0.774697,-0.02938,0.454403,0.991047,-0.032341,-0.01984,,-0.0455
402.56,0.042995,566.4,0.697489,616.4,0.772536,-0.028393,0.453913,0.991602,-0.027736,-0.024775,,-0.047803
402.58,0.040363,566.45,0.698405,616.45,0.775068,-0.028393,0.454761,0.992963,-0.023788,-0.02938,,-0.061949
402.6,0.043982,566.5,0.696726,616.5,0.774021,-0.032341,0.456395,0.991562,-0.024775,-0.031683,,-0.047474
402.62,0.045956,566.55,0.69551,616.55,0.773881,-0.028722,0.45604,0.990386,-0.017866,-0.022143,,-0.045829
402.64,0.045298,566.6,0.696058,616.6,0.771962,-0.026091,0.458285,0.990097,-0.034644,-0.027078,,-0.048132
402.66,0.039047,566.65,0.697205,616.65,0.77406,-0.028393,0.457998,0.991215,-0.032012,-0.028722,,-0.054712
402.68,0.036415,566.7,0.697029,616.7,0.772489,-0.030038,0.457561,0.990144,-0.024117,-0.027078,,-0.051751
402.7,0.044311,566.75,0.6961,616.75,0.775044,-0.02938,0.459364,0.988967,-0.022143,-0.027407,,-0.045829
402.72,0.025559,566.8,0.696063,616.8,0.772839,-0.055699,0.459248,0.989415,-0.022801,-0.028722,,-0.041553
402.74,0.043653,566.85,0.698634,616.85,0.774757,-0.028393,0.457901,0.992452,-0.022143,-0.029709,,-0.046816
402.76,0.043982,566.9,0.697968,616.9,0.774305,-0.031025,0.45863,0.993542,-0.019182,-0.02938,,-0.046158
402.78,0.044969,566.95,0.696789,616.95,0.7752,-0.025762,0.45823,0.993128,-0.021814,-0.027407,,-0.056028
402.8,0.043324,567,0.699658,617,0.773699,-0.027736,0.45858,0.994047,-0.016879,-0.029709,,-0.045171
402.82,0.04135,567.05,0.699129,617.05,0.775886,-0.030038,0.460909,0.994415,-0.02313,-0.029709,,-0.044513
402.84,0.044311,567.1,0.699313,617.1,0.774934,-0.031025,0.459801,0.99501,-0.022472,-0.030038,,-0.047145
402.86,0.047272,567.15,0.70024,617.15,0.775255,-0.034315,0.459306,0.992365,-0.040566,-0.028393,,-0.048132
402.88,0.04464,567.2,0.697997,617.2,0.774136,-0.027078,0.459196,0.992136,-0.021814,-0.030367,,-0.059646
402.9,0.050233,567.25,0.700411,617.25,0.773757,-0.031683,0.459835,0.990318,-0.026749,-0.028393,,-0.047474
402.92,0.046285,567.3,0.699911,617.3,0.774881,-0.027078,0.458077,0.993015,-0.022801,-0.030367,,-0.041553
402.94,0.044311,567.35,0.701016,617.35,0.772665,-0.028722,0.460014,0.992199,-0.021156,-0.024117,,-0.044513
402.96,0.044969,567.4,0.702598,617.4,0.773955,-0.029051,0.459559,0.99201,-0.02313,-0.048461,,-0.044513
402.98,0.042008,567.45,0.7007,617.45,0.774844,-0.033986,0.459401,0.995089,-0.021485,-0.026091,,-0.069187
403,0.047601,567.5,0.703174,617.5,0.774071,-0.024446,0.461535,0.993976,-0.022143,-0.031025,,-0.062936
403.02,0.04464,567.55,0.702643,617.55,0.772299,-0.038592,0.459009,0.993907,-0.01984,-0.033657,,-0.044842
403.04,0.047601,567.6,0.702645,617.6,0.774449,-0.029051,0.460356,0.992744,-0.020827,-0.027078,,-0.061291
403.06,0.029507,567.65,0.701466,617.65,0.774513,-0.031025,0.459317,0.993686,-0.018195,-0.024775,,-0.044184
403.08,0.048259,567.7,0.701021,617.7,0.774794,-0.027407,0.461459,0.995318,-0.020498,-0.025104,,-0.049119
403.1,0.054838,567.75,0.70224,617.75,0.773439,-0.027736,0.461309,0.995042,-0.020827,-0.025433,,-0.044842
403.12,0.045956,567.8,0.704014,617.8,0.774447,-0.029709,0.462038,0.993734,-0.02313,-0.049448,,-0.044513
403.14,0.04464,567.85,0.701832,617.85,0.775181,-0.028722,0.460432,0.987846,-0.02642,-0.031354,,-0.052409
403.16,0.044969,567.9,0.703043,617.9,0.774384,-0.02642,0.461833,0.994968,-0.021485,-0.024446,,-0.042869
403.18,0.048588,567.95,0.702858,617.95,0.774481,-0.034973,0.460472,0.993671,-0.020498,-0.049448,,-0.048132
403.2,0.046614,568,0.702629,618,0.774644,-0.019511,0.461017,0.992534,-0.025433,-0.027078,,-0.047803
403.22,0.044969,568.05,0.704756,618.05,0.774563,-0.028064,0.461319,0.993736,-0.022472,-0.026091,,-0.048461
403.24,0.042337,568.1,0.702903,618.1,0.774636,-0.030367,0.461109,0.995555,-0.021814,-0.01655,,-0.045171
403.26,0.046285,568.15,0.70348,618.15,0.774294,-0.030038,0.461177,0.994568,-0.028064,-0.027736,,-0.045829
403.28,0.043324,568.2,0.704459,618.2,0.775113,-0.02642,0.462262,0.995739,-0.021814,-0.026091,,-0.046816
403.3,0.047601,568.25,0.703322,618.25,0.773631,-0.02938,0.460809,0.996881,-0.020827,-0.025762,,-0.048461
403.32,0.045956,568.3,0.702748,618.3,0.774992,-0.028064,0.460069,0.996368,-0.024117,-0.025762,,-0.04879
403.34,0.046285,568.35,0.704261,618.35,0.774549,-0.031354,0.463291,0.998066,-0.039579,-0.023459,,-0.041553
403.36,0.048259,568.4,0.704132,618.4,0.778271,-0.017866,0.460888,0.999071,-0.022143,-0.03267,,-0.051422
403.38,0.047601,568.45,0.702414,618.45,0.776013,-0.031354,0.461243,0.995916,-0.020169,-0.022472,,-0.049119
403.4,0.048588,568.5,0.704501,618.5,0.775868,-0.030038,0.461401,0.998682,-0.023788,-0.026749,,-0.065239
403.42,0.048259,568.55,0.704882,618.55,0.777547,-0.027407,0.462609,0.997031,-0.023788,-0.024117,,-0.047803
403.44,0.046285,568.6,0.703708,618.6,0.77556,-0.028393,0.462222,0.997971,-0.023788,-0.040237,,-0.046487
403.46,0.044969,568.65,0.703651,618.65,0.774444,-0.031025,0.461867,0.99756,-0.042869,-0.028393,,-0.045171
403.48,0.035099,568.7,0.703011,618.7,0.774068,-0.025762,0.463635,0.998529,-0.019511,-0.026749,,-0.049448
403.5,0.048588,568.75,0.702458,618.75,0.775642,-0.031683,0.46363,0.998774,-0.021156,-0.025433,,-0.045829
