TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	21/12/20
TIME	15:34:43
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	550.0000
LASTX	350.0000
NPOINTS	1001
FIRSTY	0.00063
MAXY	0.26972
MINY	0.00051
XYDATA
427.2000	0.12952
427.0000	0.13112
426.8000	0.13225
426.6000	0.13367
426.4000	0.13547
426.2000	0.13728
426.0000	0.13878
425.8000	0.14026
425.6000	0.14164
425.4000	0.14298
425.2000	0.1447
425.0000	0.14624
424.8000	0.14775
424.6000	0.14937
424.4000	0.15111
424.2000	0.1526
424.0000	0.1539
423.8000	0.15533
423.6000	0.15688
423.4000	0.15846
423.2000	0.15959
423.0000	0.16101
422.8000	0.16268
422.6000	0.16407
422.4000	0.16551
422.2000	0.16693
422.0000	0.16826
421.8000	0.16939
421.6000	0.17081
421.4000	0.17226
421.2000	0.17353
421.0000	0.17475
420.8000	0.17607
420.6000	0.17748
420.4000	0.17864
420.2000	0.17964
420.0000	0.1811
419.8000	0.18238
419.6000	0.18317
419.4000	0.18443
419.2000	0.18564
419.0000	0.18654
418.8000	0.18764
418.6000	0.18896
418.4000	0.18982
418.2000	0.19095
418.0000	0.19217
417.8000	0.19296
417.6000	0.19419
417.4000	0.19514
417.2000	0.19564
417.0000	0.19694
416.8000	0.19825
416.6000	0.19909
416.4000	0.19998
416.2000	0.20084
416.0000	0.20165
415.8000	0.20292
415.6000	0.20395
415.4000	0.20455
415.2000	0.20549
415.0000	0.2065
414.8000	0.20744
414.6000	0.20862
414.4000	0.20941
414.2000	0.20999
414.0000	0.21102
413.8000	0.21208
413.6000	0.21295
413.4000	0.21382
413.2000	0.21467
413.0000	0.21559
412.8000	0.21668
412.6000	0.21765
412.4000	0.21865
412.2000	0.21954
412.0000	0.22004
411.8000	0.22077
411.6000	0.22175
411.4000	0.22285
411.2000	0.22383
411.0000	0.2248
410.8000	0.22579
410.6000	0.22659
410.4000	0.22778
410.2000	0.22884
410.0000	0.22946
409.8000	0.23043
409.6000	0.23154
409.4000	0.23219
409.2000	0.2329
409.0000	0.23406
408.8000	0.23523
408.6000	0.23621
408.4000	0.23707
408.2000	0.23788
408.0000	0.23885
407.8000	0.23978
407.6000	0.24076
407.4000	0.24161
407.2000	0.2426
407.0000	0.24379
406.8000	0.24474
406.6000	0.24538
406.4000	0.24609
406.2000	0.24708
406.0000	0.24776
405.8000	0.24879
405.6000	0.25007
405.4000	0.2507
405.2000	0.25146
405.0000	0.25238
404.8000	0.25317
404.6000	0.25385
404.4000	0.25471
404.2000	0.25535
404.0000	0.25597
403.8000	0.2572
403.6000	0.25793
403.4000	0.25832
403.2000	0.25903
403.0000	0.25962
402.8000	0.26008
402.6000	0.26062
402.4000	0.26157
402.2000	0.26243
402.0000	0.26275
401.8000	0.26319
401.6000	0.26384
401.4000	0.26436
401.2000	0.26465
401.0000	0.26512
400.8000	0.26573
400.6000	0.26585
400.4000	0.26623
400.2000	0.26702
400.0000	0.26741
399.8000	0.26763
399.6000	0.26786
399.4000	0.26807
399.2000	0.26807
399.0000	0.26839
398.8000	0.26881
398.6000	0.26862
398.4000	0.26866
398.2000	0.26915
398.0000	0.26933
397.8000	0.26932
397.6000	0.26947
397.4000	0.26962
397.2000	0.26962
397.0000	0.26972
396.8000	0.26962
396.6000	0.26947
396.4000	0.26938
396.2000	0.26913
396.0000	0.26915
395.8000	0.26895
395.6000	0.26875
395.4000	0.26849
395.2000	0.26811
395.0000	0.26776
394.8000	0.26764
394.6000	0.26749
394.4000	0.26719
394.2000	0.26685
394.0000	0.26659
393.8000	0.26621
393.6000	0.26594
393.4000	0.26587
393.2000	0.2652
393.0000	0.26471
392.8000	0.26474
392.6000	0.26435
392.4000	0.26377
392.2000	0.26344
392.0000	0.26295
391.8000	0.26267
391.6000	0.2623
391.4000	0.26186
391.2000	0.26132
391.0000	0.2608
390.8000	0.26048
390.6000	0.25996
390.4000	0.2596
390.2000	0.25901
390.0000	0.25848
389.8000	0.25836
389.6000	0.25768
389.4000	0.25728
389.2000	0.25673
389.0000	0.2559
388.8000	0.25553
388.6000	0.25529
388.4000	0.25493
388.2000	0.25415
388.0000	0.25357
387.8000	0.25301
387.6000	0.25273
387.4000	0.25253
387.2000	0.25177
387.0000	0.25113
386.8000	0.25096
386.6000	0.25051
386.4000	0.24978
386.2000	0.24908
386.0000	0.24847
385.8000	0.24793
385.6000	0.24761
385.4000	0.24734
385.2000	0.24664
385.0000	0.24591
384.8000	0.2456
384.6000	0.24517
384.4000	0.24434
384.2000	0.24355
384.0000	0.24298
383.8000	0.24274
383.6000	0.24247
383.4000	0.24175
383.2000	0.241
383.0000	0.24057
382.8000	0.24006
382.6000	0.23924
382.4000	0.23857
382.2000	0.2381
382.0000	0.23747
381.8000	0.23693
381.6000	0.23642
381.4000	0.23577
381.2000	0.2351
381.0000	0.23462
380.8000	0.23376
380.6000	0.23313
380.4000	0.23285
380.2000	0.23212
380.0000	0.23104
379.8000	0.23027
379.6000	0.22978
379.4000	0.22894
379.2000	0.22833
379.0000	0.22767
378.8000	0.22694
378.6000	0.22635
378.4000	0.22567
378.2000	0.22485
378.0000	0.22384
377.8000	0.22303
377.6000	0.22242
377.4000	0.22174
377.2000	0.22086
377.0000	0.22017
376.8000	0.21944
376.6000	0.21855
376.4000	0.21768
376.2000	0.21699
376.0000	0.21632
375.8000	0.21519
375.6000	0.21431
375.4000	0.2135
375.2000	0.2125
375.0000	0.21165
