t_ref,V_ref,t_unf,V_unf
-285.78125,0.309930706,-71.4453125,1.197124661
-285.703125,0.31094813,-71.42578125,1.197124661
-285.625,0.310608989,-71.40625,1.200176934
-285.546875,0.31094813,-71.38671875,1.199498651
-285.46875,0.312304696,-71.3671875,1.199837793
-285.390625,0.312643837,-71.34765625,1.18966355
-285.3125,0.312982979,-71.328125,1.188985267
-285.234375,0.31332212,-71.30859375,1.186950419
-285.15625,0.314000403,-71.2890625,1.186950419
-285.078125,0.314678686,-71.26953125,1.191698399
-285,0.315017827,-71.25,1.193733247
-284.921875,0.315017827,-71.23046875,1.187628702
-284.84375,0.315356969,-71.2109375,1.187628702
-284.765625,0.316035251,-71.19140625,1.19203754
-284.6875,0.317052676,-71.171875,1.193733247
-284.609375,0.317391817,-71.15234375,1.191359257
-284.53125,0.318409241,-71.1328125,1.187628702
-284.453125,0.317052676,-71.11328125,1.192376681
-284.375,0.320104949,-71.09375,1.197463803
-284.296875,0.319087524,-71.07421875,1.191359257
-284.21875,0.319765807,-71.0546875,1.18491557
-284.140625,0.320783231,-71.03515625,1.198481227
-284.0625,0.320783231,-71.015625,1.198820368
-283.984375,0.320783231,-70.99609375,1.196107237
-283.90625,0.320783231,-70.9765625,1.194750671
-283.828125,0.322139797,-70.95703125,1.187967843
-283.75,0.322139797,-70.9375,1.198481227
-283.671875,0.32281808,-70.91796875,1.196107237
-283.59375,0.323157221,-70.8984375,1.188985267
-283.515625,0.323496363,-70.87890625,1.196107237
-283.4375,0.324513787,-70.859375,1.189324409
-283.359375,0.324513787,-70.83984375,1.192715823
-283.28125,0.324513787,-70.8203125,1.196446379
-283.203125,0.325531211,-70.80078125,1.184576429
-283.125,0.325870353,-70.78125,1.191359257
-283.046875,0.325531211,-70.76171875,1.197463803
-282.96875,0.326548636,-70.7421875,1.192376681
-282.890625,0.327226918,-70.72265625,1.190341833
-282.8125,0.326887777,-70.703125,1.186611277
-282.734375,0.328244343,-70.68359375,1.19203754
-282.65625,0.327905201,-70.6640625,1.187967843
-282.578125,0.329600908,-70.64453125,1.193394106
-282.5,0.328922625,-70.625,1.192715823
-282.421875,0.328922625,-70.60546875,1.183898146
-282.34375,0.32994005,-70.5859375,1.193394106
-282.265625,0.32994005,-70.56640625,1.195428954
-282.1875,0.330957474,-70.546875,1.196446379
-282.109375,0.331635757,-70.52734375,1.192376681
-282.03125,0.331635757,-70.5078125,1.193054964
-281.953125,0.33231404,-70.48828125,1.193054964
-281.875,0.333670605,-70.46875,1.18491557
-281.796875,0.33231404,-70.44921875,1.195089813
-281.71875,0.334009747,-70.4296875,1.196446379
-281.640625,0.333331464,-70.41015625,1.18254158
-281.5625,0.334348888,-70.390625,1.193054964
-281.484375,0.334348888,-70.37109375,1.193733247
-281.40625,0.33468803,-70.3515625,1.194750671
-281.328125,0.335027171,-70.33203125,1.19678552
