TITLE	
DATA TYPE	
ORIGIN	JASCO
OWNER	
DATE	21/12/20
TIME	15:25:33
SPECTROMETER/DATA SYSTEM	JASCO Corp., V-550, Rev. 1.00
RESOLUTION	
DELTAX	-0.2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	550.0000
LASTX	350.0000
NPOINTS	1001
FIRSTY	-0.00013
MAXY	0.00033
MINY	-0.00059
XYDATA
411.8000	-0.00041
411.6000	-0.00059
411.4000	-0.00032
411.2000	-0.00012
411.0000	-0.00019
410.8000	-0.00014
410.6000	-0.00028
410.4000	-0.00025
410.2000	1.95652E-010
410.0000	6.99999E-005
409.8000	-9E-005
409.6000	3.99999E-005
409.4000	-0.00017
409.2000	-0.0004
409.0000	-0.00016
408.8000	-0.00017
408.6000	-0.00025
408.4000	-0.00043
408.2000	-0.00034
408.0000	-4.99999E-005
407.8000	-0.00014
407.6000	-0.00021
407.4000	1.00002E-005
407.2000	0.00011
407.0000	-0.00013
406.8000	-2.00001E-005
406.6000	6E-005
406.4000	-0.00025
406.2000	-0.00043
406.0000	-0.00041
405.8000	-9E-005
405.6000	0.0002
405.4000	-1.99999E-005
405.2000	9.99992E-006
405.0000	-2.00001E-005
404.8000	-0.00036
404.6000	-0.00027
404.4000	-0.00017
404.2000	-7.99999E-005
404.0000	-9.99997E-006
403.8000	4.00002E-005
403.6000	-9.99998E-005
403.4000	-0.00018
403.2000	-5.99998E-005
403.0000	-4.00001E-005
402.8000	-0.00014
402.6000	-0.00016
402.4000	-0.00022
402.2000	-0.00032
402.0000	-0.00013
401.8000	0.00013
401.6000	0.00028
401.4000	9.00001E-005
401.2000	-6.99999E-005
401.0000	4.99999E-005
400.8000	-1.99998E-005
400.6000	-0.00024
400.4000	-0.00032
400.2000	-0.00011
400.0000	0.00021
399.8000	0.0002
399.6000	6.99999E-005
399.4000	-7.99999E-005
399.2000	-0.00017
399.0000	-3.00002E-005
398.8000	5.00002E-005
398.6000	-0.00027
398.4000	-0.00034
398.2000	-3.99998E-005
398.0000	0.00027
397.8000	0.00023
397.6000	-0.00015
397.4000	-4.99998E-005
397.2000	0.00017
397.0000	-6.99996E-005
396.8000	4.99999E-005
396.6000	9.00004E-005
396.4000	-0.00018
396.2000	-0.00028
396.0000	-0.00035
395.8000	-0.00013
395.6000	-4.75347E-011
395.4000	-5E-005
395.2000	-2E-005
395.0000	-0.00018
394.8000	-6E-005
394.6000	0.00018
394.4000	-1.99999E-005
394.2000	-0.00015
394.0000	-0.00015
393.8000	-0.00044
393.6000	-0.00036
393.4000	6.00002E-005
393.2000	-4.99998E-005
393.0000	-0.0002
392.8000	-0.00021
392.6000	2.00001E-005
392.4000	0.00025
392.2000	9.99999E-005
392.0000	-6.00002E-005
391.8000	8E-005
391.6000	7.00001E-005
391.4000	-9.00001E-005
391.2000	-9.00001E-005
391.0000	-5E-005
390.8000	-0.00028
390.6000	-0.00029
390.4000	9.99986E-006
390.2000	0.00017
390.0000	0.00024
