wl,baseline,buffer,gfp,yfp,lysozyme
506.2,-0.00171,-0.00027,0.01303,0.11255,0.02599
506,-0.00175,-0.00018,0.01328,0.11237,0.02606
505.8,-0.002,9.50E-11,0.01387,0.11234,0.0262
505.6,-0.00192,-0.00017,0.01412,0.11199,0.02614
505.4,-0.00188,-0.00027,0.01462,0.11171,0.02625
505.2,-0.00201,-5.00E-05,0.01509,0.11164,0.02634
505,-0.00187,-0.00016,0.01523,0.11121,0.02609
504.8,-0.00177,-0.00029,0.01553,0.11085,0.02595
504.6,-0.00192,-0.00017,0.01594,0.11081,0.0261
504.4,-0.00194,-0.00012,0.01634,0.11047,0.02604
504.2,-0.00201,2.00E-05,0.0168,0.11051,0.02591
504,-0.00206,1.00E-05,0.01712,0.11045,0.02588
503.8,-0.00201,-4.00E-05,0.01741,0.10996,0.02595
503.6,-0.00194,2.00E-05,0.01772,0.10989,0.02592
503.4,-0.00199,8.00E-05,0.01829,0.10986,0.02607
503.2,-0.00209,8.00E-05,0.01877,0.10973,0.02615
503,-0.00202,-0.00018,0.0189,0.10952,0.02583
502.8,-0.00195,-0.00038,0.01917,0.10923,0.02562
502.6,-0.00206,-9.00E-05,0.01965,0.109,0.02601
502.4,-0.00203,-6.00E-05,0.02007,0.10883,0.02614
502.2,-0.00187,-0.00034,0.02025,0.10871,0.02563
502,-0.00187,-0.00041,0.02053,0.10829,0.02553
501.8,-0.00203,-0.00025,0.02102,0.10806,0.02573
501.6,-0.00204,-0.00012,0.02129,0.10773,0.02586
501.4,-0.00204,-1.00E-05,0.02157,0.10699,0.02598
501.2,-0.00225,0.0002,0.02257,0.10694,0.02597
501,-0.00223,0.00012,0.02286,0.10653,0.02579
500.8,-0.00214,-3.00E-05,0.02284,0.10559,0.02572
500.6,-0.00206,6.00E-05,0.0234,0.10498,0.02574
500.4,-0.00216,0.00016,0.02375,0.10464,0.02586
500.2,-0.00223,2.00E-05,0.024,0.10415,0.02574
500,-0.00206,-0.00021,0.02426,0.10353,0.02545
499.8,-0.00221,-0.00012,0.02475,0.10338,0.02578
499.6,-0.00217,-0.00019,0.02499,0.10286,0.02584
499.4,-0.00204,-0.00031,0.02525,0.10206,0.02558
499.2,-0.00202,-0.00011,0.0257,0.10165,0.02549
499,-0.00214,5.00E-05,0.02585,0.10149,0.02552
498.8,-0.00242,0.00016,0.02629,0.10156,0.02587
498.6,-0.00221,-0.00021,0.02658,0.10097,0.02564
498.4,-0.00208,-0.0003,0.02676,0.1003,0.02539
498.2,-0.00221,-7.00E-05,0.02736,0.10026,0.02555
498,-0.00226,-0.00024,0.0276,0.10014,0.02543
497.8,-0.00223,-0.00025,0.02777,0.09982,0.02547
497.6,-0.00223,-0.00013,0.02819,0.09964,0.02566
497.4,-0.00226,-6.00E-05,0.02849,0.09945,0.02555
497.2,-0.00222,-9.25E-11,0.02878,0.0992,0.02524
497,-0.00215,-2.00E-05,0.02913,0.09901,0.02532
496.8,-0.00223,4.00E-05,0.02942,0.0989,0.02546
496.6,-0.0022,-0.00023,0.0295,0.09869,0.02527
496.4,-0.00221,-0.0002,0.02989,0.09854,0.02528
496.2,-0.00212,-0.00027,0.03022,0.09851,0.02519
496,-0.00204,-0.00044,0.03035,0.09836,0.02526
495.8,-0.00224,-0.00022,0.03088,0.09808,0.02545
495.6,-0.00241,-4.27E-11,0.03156,0.09804,0.02541
495.4,-0.00238,-1.00E-05,0.03157,0.09797,0.02522
495.2,-0.00211,-0.00036,0.03157,0.09757,0.02505
495,-0.00209,-0.00039,0.03189,0.09743,0.02508
494.8,-0.00231,-0.00011,0.03237,0.09746,0.02508
494.6,-0.00236,8.00E-05,0.0328,0.09734,0.02511
494.4,-0.00235,3.00E-05,0.03282,0.0971,0.02514
494.2,-0.00212,-0.00043,0.03307,0.09672,0.02495
494,-0.00211,-0.00043,0.0335,0.09655,0.02481
493.8,-0.00229,-0.00016,0.03383,0.09658,0.02492
493.6,-0.00224,-0.00014,0.03415,0.09646,0.02495
493.4,-0.00217,-0.0002,0.03434,0.09616,0.02482
493.2,-0.00241,-0.00015,0.03481,0.09623,0.02512
493,-0.00238,-0.00014,0.035,0.09608,0.02515
492.8,-0.00209,-0.00029,0.03497,0.09558,0.02483
492.6,-0.00227,-0.00033,0.03536,0.09579,0.02481
492.4,-0.00248,-0.00018,0.03576,0.09596,0.02476
492.2,-0.00249,-3.00E-05,0.03613,0.09565,0.02486
492,-0.00231,-0.00013,0.03635,0.09526,0.02505
491.8,-0.00248,2.47E-11,0.03673,0.09531,0.02519
491.6,-0.00242,-0.0001,0.03685,0.09504,0.02483
491.4,-0.00218,-0.00027,0.03701,0.09459,0.02436
491.2,-0.00236,-0.00033,0.03752,0.09481,0.02456
491,-0.00253,4.00E-05,0.03795,0.09473,0.02484
490.8,-0.00246,0.00012,0.03793,0.09458,0.02466
